"Aasta","Maakond","Tulud_riigieelarvest","Tulud_KOV_eelarvest","Tööjõukulud","Komplekteerimiskulud","Investeeringud_põhivarasse"
"2017","Harju maakond",712.58,5872.48,3922.31,1289.42,89.08
"2017","Hiiu maakond",48.74,220.53,169.83,52.03,3.50
"2017","Ida-Viru maakond",319.89,2414.35,1777.37,390.08,53.54
"2017","Jõgeva maakond",180.86,782.35,610.62,167.81,0.00
"2017","Järva maakond",121.88,753.90,488.86,138.40,73.21
"2017","Lääne maakond",129.86,599.97,457.88,126.32,2.00
"2017","Lääne-Viru maakond",175.81,1575.27,1112.38,282.69,78.16
"2017","Põlva maakond",131.07,1132.66,619.63,202.74,352.68
"2017","Pärnu maakond",217.69,1596.22,1112.87,349.05,41.84
"2017","Rapla maakond",127.23,1038.96,725.42,212.63,11.33
"2017","Saare maakond",126.78,914.98,585.50,165.80,113.57
"2017","Tartu maakond",322.21,2692.09,1885.56,526.41,54.53
"2017","Valga maakond",121.08,805.58,519.28,142.03,120.51
"2017","Viljandi maakond",150.59,1185.04,794.57,243.30,9.54
"2017","Võru maakond",134.98,877.41,695.34,190.14,0.00
