Murre;Murrak;eiole;pole
Kirde;Jõh;0.911764705882353;0.0882352941176471
Kirde;Iis;0.90625;0.09375
Ida;Pal;0.719101123595506;0.280898876404494
Kesk;Äks;0.914285714285714;0.0857142857142857
Kesk;Amb;0.753086419753086;0.246913580246914
Kesk;Juu;0.540540540540541;0.459459459459459
Kesk;Kei;0.620689655172414;0.379310344827586
Kesk;Kos;0.655172413793103;0.344827586206897
Kesk;Pee;0.615384615384615;0.384615384615385
Kesk;Pil;0.477611940298507;0.522388059701492
Kesk;Plt;0.560606060606061;0.439393939393939
Kesk;SJn;0.8;0.2
Kesk;VMr;0.9;0.1
Mulgi;Hel;1;0
Mulgi;Hls;1;0
Mulgi;Krk;1;0
Mulgi;Pst;1;0
Mulgi;Trv;1;0
Lääne;Hää;0.710526315789474;0.289473684210526
Lääne;Kul;0.518987341772152;0.481012658227848
Lääne;Mär;0.466666666666667;0.533333333333333
Lääne;Mih;0.904761904761905;0.0952380952380952
Lääne;Rid;0.611940298507463;0.388059701492537
Lääne;Tor;0.393939393939394;0.606060606060606
Lääne;Tõs;0.616161616161616;0.383838383838384
Lääne;Vän;0.48314606741573;0.51685393258427
Lääne;Var;0.959183673469388;0.0408163265306122
Ranna;Hlj;0.888888888888889;0.111111111111111
Ranna;Jõe;0.939814814814815;0.0601851851851852
Ranna;Kuu;0.985915492957746;0.0140845070422535
Ranna;VNg;0.969230769230769;0.0307692307692308
Saarte;Ans;0.346938775510204;0.653061224489796
Saarte;Emm;0.20979020979021;0.79020979020979
Saarte;Jäm;0.191111111111111;0.808888888888889
Saarte;Käi;0.271293375394322;0.728706624605678
Saarte;Khk;0.433628318584071;0.566371681415929
Saarte;Muh;0.541125541125541;0.458874458874459
Saarte;Mus;0.387254901960784;0.612745098039216
Saarte;Phl;0.227272727272727;0.772727272727273
Saarte;Pöi;0.55952380952381;0.44047619047619
Saarte;Reigi;0.103225806451613;0.896774193548387
Tartu;Nõo;1;0
Tartu;Ote;1;0
Tartu;Rõn;1;0
Võru;Plv;0.995073891625616;0.00492610837438424
Võru;Räp;1;0
Võru;Rõu;1;0
Saarte;Khn;0.251908396946565;0.748091603053435
Võru;Krl;0.994011976047904;0.00598802395209581
Saarte;Vll;0.333333333333333;0.666666666666667
Lääne;Mar;0.515432098765432;0.484567901234568
Saarte;Jaa;0.166666666666667;0.833333333333333
Saarte;Pha;0.17037037037037;0.82962962962963
Lääne;PJg;0.385714285714286;0.614285714285714
Kesk;Koe;0.584615384615385;0.415384615384615
Lääne;Kir;0.446808510638298;0.553191489361702
Lääne;Aud;0.623376623376623;0.376623376623377
Kesk;Ris;0.54;0.46
Tartu;Puh;1;0
Kesk;Kad;0.760869565217391;0.239130434782609
Kesk;Tür;0.787878787878788;0.212121212121212
Võru;Kan;1;0
Lääne;Lih;0.32258064516129;0.67741935483871
Kesk;KJn;0.711538461538462;0.288461538461538
Kesk;Nis;0.128205128205128;0.871794871794872
Tartu;Ran;1;0
Kirde;Vai;1;0
Ida;Avi;0.888888888888889;0.111111111111111
Ida;Kod;0.955223880597015;0.0447761194029851
Ida;Trm;0.543859649122807;0.456140350877193
Kesk;HMd;0.355932203389831;0.644067796610169
Kesk;VJg;0.782608695652174;0.217391304347826
Tartu;Kam;1;0
Tartu;Võn;1;0
Saarte;Krj;0.0227272727272727;0.977272727272727
Setu;ISe;1;0
Kirde;Lüg;0.958333333333333;0.0416666666666667
Kesk;Rap;0;1
Setu;PSe;0.993055555555556;0.00694444444444444
Setu;LSe;0.996428571428571;0.00357142857142857
Võru;Har;1;0
Võru;Urv;1;0
Võru;Vas;1;0
